序号,名称,统计编号
1,杭州汇点网络科技有限公司,20133301000662 
2,浙江杭州赛诺捷节能科技有限公司,2014010551 
3,杭州消防设备有限公司,201001020 
4,浙江荣锦科技有限公司,20133301000835 
5,杭州宝牛科技有限公司,20163301001124 
6,杭州洞见科技有限公司,20173301000777 
7,杭州润泽动漫有限公司,20173301000238 
8,杭州一骑绝尘科技有限公司,20183301001565 
9,杭州鲁尔物联科技有限公司,20143301000517 
10,杭州泰诺电子科技有限公司,2015010574 
11,杭州劲力节能科技有限公司,20133301000674 
12,杭州新邮路网络技术有限公司,20183301000234 
13,杭州矽瑞电子科技有限公司,20133301000776 
14,杭州新中大项目管理技术有限公司,201002026 
15,杭州炫阳科技有限公司,20163301001352 
16,杭州安杰思生物科技有限公司,20153301000507 
17,杭州淘园易网络科技有限公司,20173301001165 
18,杭州赛昂软件科技有限公司,20183301001477 
19,杭州兴畅网络科技有限公司,20183301000701 
20,杭州捷点广告有限公司,2015010585 
21,杭州广桥集客网络技术有限公司,20153301000479 
22,杭州绿领网络科技有限公司,20163301001729 
23,杭州浩通仪器仪表有限公司,2015010650 
24,杭州趣吧科技有限公司,20163301001310 
25,杭州金密钢带有限公司,20163301001759 
26,杭州锦桥科技有限公司,20183301000527 
27,杭州步长科技有限公司,20173301000786 
28,杭州伊索弗科技有限公司,20173301000024 
29,杭州乐刻网络技术有限公司,20173301000806 
30,杭州复强交通科技有限公司,20173301000753 
31,杭州灵彩科技有限公司,2015010618 
32,杭州吾动网络技术有限公司,20153301000665 
33,杭州葆瑞生物科技有限公司,20163301000333 
34,杭州拓荒者软件技术有限公司,20163301001604 
35,杭州腾瑞电气有限公司,2013010752 
36,杭州阡陌棠生物科技有限公司,20183301001898 
37,杭州晶百检测技术有限公司,20163301001189 
38,杭州国汇科技有限公司,2014010379 
39,杭州久良科技有限公司,201201050 
40,杭州艺睿教育咨询有限公司,2014010540 
41,杭州欧源健康管理股份有限公司,2015010643 
42,浙江谐平科技股份有限公司,201002031 
43,杭州英索文化创意有限公司,20173301000801 
44,杭州中为光电技术股份有限公司,20133301000812 
45,杭州破晓网络科技有限公司,20143301000520 
46,杭州镭克镨光电技术有限公司,2015010617 
47,浙江安必行物联网科技有限公司,20153301000497 
48,浙江海胜通信技术有限公司,20163301001598 
49,杭州国为生物科技有限公司,20143301000501 
50,杭州江河水电科技有限公司,2013010669 
51,杭州派臣医药科技有限公司,20143301000415 
52,浙江进取科技有限公司,2015010592 
53,浙江答分奇网络科技有限公司,20173301000782 
54,杭州五仁网络科技有限公司,20163301001111 
55,杭州瑞诚仪器有限公司,2015010682 
56,杭州易能控制工程有限公司,20123301001057 
57,杭州荣丰文化创意有限公司,2015010467 
58,杭州百珂博科技有限公司,20143301000494 
59,杭州腾腾科技有限公司,2014010530 
60,杭州驷铃铃网络科技有限公司,201001013 
61,杭州杭途科技有限公司,20143301000381 
62,杭州游趣网络有限公司,2014010463 
63,杭州杰德科技有限公司,20093301001040 
64,浙江云开亚美医药科技股份有限公司,20163301001738 
65,杭州互天网络技术有限公司,2015010637 
66,杭州天净检测技术有限公司,20173301000038 
67,杭州寰宸科技有限公司,2015010437 
68,杭州禾舜科技有限公司,20173301001166 
69,杭州乐卡麦尔工业设计有限公司,2014010406 
70,杭州略胜进出口有限公司,20163301001100 
71,浙江汤氏供应链管理有限公司,20183301001900 
72,杭州冠储软件有限公司,2015010651 
73,杭州联云汽车科技有限公司,20153301000528 
74,浙江海舟船舶制造有限公司,2014010485 
75,杭州行我行网络有限公司,20143301000536 
76,杭州嘉拓科技有限公司,20133301000013 
77,杭州妥爱沐生物科技有限公司,2015010538 
78,浙江南德电气有限公司,2014010413 
79,杭州启博科技有限公司,20133301000717 
80,杭州菱能自动化设备有限公司,2015010659 
81,杭州藕根科技有限公司,2015010676 
82,杭州青芒工业设计有限公司,20163301001772 
83,杭州泛腾科技有限公司,20153301000440 
84,杭州赛东科技有限公司 ,20173301000228 
85,杭州圣豆士生物科技有限公司,20173301000762 
86,杭州金兰达新能源科技有限公司,2014010510 
87,杭州兔小伍文化创意有限公司,20163301000386 
88,杭州天净检测技术有限公司,2015010435 
89,杭州米加科技有限公司,20163301001707 
90,浙江中软信息工程有限公司,200501014 
91,浙江安地建筑设计有限公司,201201023 
92,杭州灵易利自动化技术有限公司,2015010420 
93,杭州御茶村茶业有限公司,20163301001217 
94,杭州湾云计算技术有限公司,2013010759 
95,杭州恒洋科技有限公司,20153301000513 
96,杭州鹏涛科技有限公司,2013010712 
97,浙江安地建筑规划设计有限公司,2015010619 
98,杭州卓龙网络科技有限公司,2015010686 
99,杭州蓝山环保科技有限公司,20173301000052 
100,杭州慕青鱼头人文化艺术有限公司,20163301001771 
101,杭州九煌通信技术有限公司,2015010605 
102,杭州克柔姆色谱科技有限公司,20133301000014 
103,杭州象链网络技术有限公司,20173301000035 
104,杭州广岱科技有限公司,2015010687 
105,杭州钧正科技有限公司,2015010671 
106,杭州科讯数码技术有限公司,200501012 
107,浙江荣威信息技术有限公司,201201042 
108,杭州转影科技有限公司,20143301000474 
109,杭州睐旭信息科技有限公司,20163301001198 
110,杭州乐邦科技有限公司,201201063 
111,浙江云检科技有限公司,20163301001098 
112,杭州三江轴承有限公司,201201055 
113,杭州星光电力建设有限公司,2015010607 
114,杭州诺成自动化系统工程有限公司,20133301000709 
115,杭州仁润科技有限公司,2015010572 
116,浙江万企动力教育科技有限公司,2014010554 
117,杭州汇文教育咨询有限公司,2013010664 
118,杭州魔品科技有限公司,20153301000580 
119,杭州贝劢科技有限公司,2013010617 
120,杭州泽泉生物科技有限公司,2014010468 
121,杭州考通网络科技有限公司,2015010606 
122,杭州斯玛特维科技有限公司,2015010649 
123,杭州倍丽光电技术有限公司,200901026 
124,杭州澳普斯农业机械有限公司,20163301001104 
125,杭州萝卜圈网络技术有限公司,2013010697 
126,杭州天腾环境艺术有限公司,201002027 
127,杭州欧彩光电科技有限公司,201201061 
128,杭州嘉云数据科技有限公司,20183301000937 
129,浙江艾摩柯斯环境科技有限公司,20153301000542 
130,杭州时趣信息技术有限公司,20143301000428 
131,浙江顶峰技术服务有限公司,201201065 
132,杭州大井头数字科技有限公司,20143301000365 
133,杭州仙踪网络科技有限公司,2014010535 
134,杭州邦银电子商务有限公司,2015010470 
135,杭州格训科技有限公司,2013010642 
136,杭州艾科宁环境技术有限公司,2015010677 
137,杭州跬灵科技有限公司,2015010526 
138,杭州云生雾岑科技有限公司,20143301000465 
139,杭州创业互联科技有限公司,2015010632 
140,杭州顺泽生物技术有限公司,2013010742 
141,浙江核聚智能技术有限公司,20183301000067 
142,杭州虹谱光电科技有限公司,2013010015 
143,杭州华测瑞欧科技有限公司,20153301000582 
144,杭州航夏科技有限公司,20173301000285 
145,杭州恩牛网络技术有限公司,2015010563 
146,杭州酷仓宝科技有限公司,20153301000442 
147,杭州鲁控水务工程有限公司,20183301000026 
148,杭州柏拉图科技有限公司,2015010672 
149,杭州中喜环保技术有限公司,2014010549 
150,杭州威佩网络科技有限公司,20173301001103 
151,杭州端点网络科技有限公司,20143301000370 
152,杭州膳良生态农业技术有限公司,2014010425 
153,杭州安啊安防科技有限公司,20153301000681 
154,浙江鼎顶科技有限公司,2015010597 
155,杭州三众软件技术有限公司,200901029 
156,杭州鹰驰文化创意有限公司,20173301000278 
157,杭州护童科技有限公司,20163301001706 
158,杭州浩旷科技有限公司,2015010642 
159,杭州智慧给排水工程有限公司,2015010692 
160,杭州昌能电力科技有限公司,20153301000575 
161,杭州莱仙生物科技股份有限公司,20163301001690 
162,浙江绿治污泥处理技术有限公司,20133301000829 
163,杭州网鼎科技有限公司,2015010678 
164,杭州国正检测技术有限公司,20143301000502 
165,浙江视科文化传播有限公司,2015010408 
166,杭州安耐杰科技有限公司,20103301001015 
167,杭州品购电子商务有限公司,2015010628 
168,杭州顺联科技有限公司,2014010430 
169,杭州乾程弘泰电力科技有限公司,2014010521 
170,杭州步步为赢教育科技有限公司,2013010619 
171,杭州孝行文化创意有限公司,2015010679 
172,数源久融技术有限公司,2014010479 
173,杭州墨风科技有限公司,20183301000107 
174,杭州华诺科技开发有限公司,200802054 
175,杭州制高媒体科技有限公司,20123301001041 
176,杭州蓝融科技有限公司,20143301000402 
177,杭州恩迪照明科技有限公司,2013010634 
178,杭州浩道生物科技有限公司,2015010524 
179,杭州赛恩生物技术有限公司,2013010727 
180,杭州晴云科技有限公司,2015010412 
181,杭州兑吧网络科技有限公司,2015010544 
182,杭州新纽科技有限公司,2015010460 
183,杭州开三电子商务有限公司,2014010514 
184,杭州云众电力科技有限公司,2014010466 
185,杭州昕磊电子技术有限公司,20143301000451 
186,杭州逢缘科技有限公司,2015010447 
187,杭州铭展网络科技有限公司,20133301000705 
188,杭州追灿科技有限公司,2013010815 
189,杭州伍善网络科技有限公司,20143301000446 
190,杭州民天环保技术研究所有限公司,201201049 
191,杭州修思仪器有限公司,2014010453 
192,杭州宝沃电气设备有限公司,20153301000503 
193,杭州青蜂网络科技有限公司,20173301001177 
194,杭州勒卡斯广告策划有限公司,2014010407 
195,杭州嘎古网络科技有限公司,2013010638 
196,杭州志远科技有限公司,201002019 
197,杭州正澄洁环保科技有限公司,20163301001720 
198,浙江华盈传媒有限公司,2015010625 
199,艾森生物（杭州）有限公司,20083301002026 
200,杭州陶钩科技有限公司,2015010436 
201,杭州人马座科技有限公司,20183301001498 
202,杭州茹强科技有限公司,2015010685 
203,杭州蒙诺科技有限公司,2014010410 
204,杭州银江智能设备有限公司,200802095 
205,杭州掌家科技有限公司,20163301001733 
206,杭州三杭蒙特费罗电梯部件有限公司,200901030 
207,杭州微铜科技有限公司,20163301000388 
208,杭州橙谷科技有限公司,20173301001284 
209,杭州易和互联软件技术有限公司,2013010790 
210,杭州轩剑科技有限公司,2015010577 
211,杭州直面网络科技有限公司,2013010808 
212,杭州乐控科技有限公司,2013010692 
213,杭州爱名网络有限公司,2013010606 
214,杭州晶格科学仪器有限公司,200802062 
215,杭州谷禾信息技术有限公司,20133301000644 
216,杭州萃元教育科技有限公司,20173301001259 
217,浙江东南建筑设计有限公司 ,20183301000429 
218,杭州青青实业有限公司,201201033 
219,杭州海阔橡塑制品有限公司,20163301001083 
220,杭州捷尚智能交通技术有限公司,2013010672 
221,杭州彩家网络科技有限公司,20163301001736 
222,浙江动发能源科技有限公司,2013010822 
223,浙江美浓涂料有限公司,2015010630 
224,杭州华诺科技开发有限公司,2015010633 
225,杭州泽大仪器有限公司,201201045 
226,杭州淳敏软件技术有限公司,20163301000334 
227,杭州上兆科技有限公司,2015010535 
228,杭州弗里德科技有限公司,2015010461 
229,杭州造物科技有限公司,20153301000451 
230,杭州双江工具制造有限公司,20183301001240 
231,杭州良展建筑科技有限公司,20153301000529 
232,杭州汉卓机电科技有限公司,2015010522 
233,杭州嗅嗅科技有限公司,20163301000343 
234,杭州翱朝科技有限公司,2015010634 
235,杭州皮秒科技有限公司,2015010419 
236,浙江保融科技有限公司,20143301000481 
237,杭州诚一文化创意有限公司,20163301000353 
238,浙江小融网络科技股份有限公司,20163301001214 
239,杭州真趣网络科技有限公司,2014010546 
240,杭州学乐网络技术有限公司,2013010787 
241,杭州博麦医药科技有限公司,2014010497 
242,杭州一语网络科技有限公司,20183301000681 
243,杭州瑞赛普特生物科技有限公司,2015010427 
244,杭州蜗牛网络科技有限公司,20163301001109 
245,杭州瑞析科技有限公司,2013010724 
246,杭州纽蓝科技有限公司,20153301000584 
247,杭州新华数码科技有限公司,200901027 
248,杭州天梦科技有限公司,20153301000693 
249,爱财科技有限公司,20163301000976 
250,杭州图一科技有限公司,20173301000773 
251,杭州音淘网络科技有限公司,20163301000828 
252,杭州中康信息科技有限公司,20133301000811 
253,杭州华电双良节能技术有限公司,20153301000514 
254,浙江凯池电子科技有限公司,20183301000987 
255,浙江乾贞环境科技有限公司,20173301000618 
256,杭州民安生物科技有限公司,2015010530 
257,杭州沃友科技有限公司,2013010769 
258,杭州瑞维奥科技有限公司,2015010434 
259,浙江携银在线网络科技有限公司,2015010586 
260,浙江紫荆生物技术有限公司,2013010843 
261,杭州申昊信息科技有限公司,200802077 
262,杭州坤时自动化系统有限公司,20163301001682 
